Cities,Countries,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Date
Areni,AM,39.72,45.18,41.0,75,40,9.2,02-09-2021
Champerico,GT,14.3,-91.92,89.6,58,40,6.9,02-09-2021
Huilong,CN,31.81,121.66,45.0,86,100,1.0,02-09-2021
Dasoguz,TM,41.84,59.97,39.2,48,75,16.1,02-09-2021
Novyy Urengoy,RU,66.08,76.63,-19.4,86,62,11.1,02-09-2021
Imeni Poliny Osipenko,RU,52.42,136.49,-11.2,91,22,0.9,02-09-2021
Arlit,NE,18.74,7.39,72.3,15,0,4.0,02-09-2021
Belousovka,KZ,50.13,82.52,-7.6,84,20,2.2,02-09-2021
Madimba,TZ,-10.4,40.33,77.0,100,75,15.0,02-09-2021
Hayden,US,47.77,-116.79,22.0,53,90,11.5,02-09-2021
Tazovskiy,RU,67.47,78.7,-22.4,87,10,11.0,02-09-2021
Staroutkinsk,RU,57.23,59.33,-13.8,86,100,10.5,02-09-2021
Khandyga,RU,62.67,135.6,-19.6,85,95,2.4,02-09-2021
Vardo,NO,70.37,31.11,23.0,63,40,24.2,02-09-2021
Slave Lake,CA,55.28,-114.77,-20.2,63,90,25.3,02-09-2021
Longyearbyen,SJ,78.22,15.64,15.8,67,75,5.8,02-09-2021
Isla Mujeres,MX,21.23,-86.73,84.2,70,75,23.0,02-09-2021
Tigzirt,DZ,36.89,4.12,58.2,71,100,7.4,02-09-2021
Okha,RU,53.57,142.95,2.7,94,75,10.8,02-09-2021
Broome,AU,-17.97,122.23,84.2,65,100,13.8,02-09-2021
Kristiansund,NO,63.11,7.73,28.4,59,75,8.0,02-09-2021
Bang Saphan,TH,11.21,99.51,73.6,89,42,2.9,02-09-2021
Bilma,NE,18.69,12.92,73.4,17,0,8.7,02-09-2021
Lagoa,PT,39.05,-27.98,61.1,90,100,31.4,02-09-2021
Grand Gaube,MU,-20.01,57.66,80.0,72,13,5.0,02-09-2021
Ostrov,RU,57.34,28.35,10.4,79,0,9.0,02-09-2021
Dongning,CN,44.06,131.12,7.9,90,8,4.0,02-09-2021
Kandla,IN,23.03,70.22,70.4,31,18,6.6,02-09-2021
Saint-Michel-Des-Saints,CA,46.68,-73.92,19.0,93,100,4.1,02-09-2021
Yanam,IN,16.73,82.22,65.8,78,7,0.4,02-09-2021
Rabo De Peixe,PT,37.8,-25.58,62.0,94,40,17.3,02-09-2021
Harbour Breton,CA,47.48,-55.8,30.4,91,65,30.2,02-09-2021
Zhigansk,RU,66.77,123.37,-28.5,83,0,1.5,02-09-2021
San Andres,CO,12.58,-81.7,86.0,66,20,13.8,02-09-2021
Havoysund,NO,71.0,24.66,24.8,68,75,21.8,02-09-2021
Baherden,TM,38.44,57.43,59.5,46,100,1.1,02-09-2021
Havelock,US,34.88,-76.9,65.0,82,90,6.9,02-09-2021
Macomb,US,40.46,-90.67,9.0,61,90,9.2,02-09-2021
Leh,IN,34.17,77.58,20.6,86,100,2.2,02-09-2021
Kulunda,RU,52.57,78.94,-0.8,92,100,15.4,02-09-2021
Caiaponia,BR,-16.96,-51.81,81.1,59,90,3.6,02-09-2021
Thinadhoo,MV,0.53,72.93,82.4,80,90,13.9,02-09-2021
Noginsk,RU,55.87,38.44,8.6,85,75,13.4,02-09-2021
Gillette,US,44.29,-105.5,2.0,65,75,3.4,02-09-2021
Benguela,AO,-12.58,13.41,77.7,76,100,3.7,02-09-2021
Zemio,CF,5.03,25.14,75.9,19,81,2.9,02-09-2021
Hithadhoo,MV,-0.6,73.08,82.5,79,88,11.0,02-09-2021
Batsfjord,NO,70.63,29.72,17.6,67,40,18.4,02-09-2021
Maumere,ID,-8.62,122.21,80.2,78,100,0.6,02-09-2021
Rawalpindi,PK,33.6,73.07,56.0,70,0,1.0,02-09-2021
Uruzgan,AF,32.83,66.0,46.7,50,0,5.1,02-09-2021
Gornopravdinsk,RU,60.05,69.9,-23.4,87,0,4.3,02-09-2021
Teya,RU,60.38,92.63,-3.4,85,100,11.6,02-09-2021
Porto Novo,CV,17.02,-25.06,71.6,64,75,20.7,02-09-2021
Ayr,AU,-19.58,147.4,76.0,1,64,7.3,02-09-2021
Lavrentiya,RU,65.58,-171.0,-11.3,82,0,15.4,02-09-2021
Cayambe,EC,0.05,-78.13,71.6,49,40,21.8,02-09-2021
Montepuez,MZ,-13.13,39.0,71.7,97,100,4.7,02-09-2021
Alta Floresta,BR,-9.88,-56.09,82.5,83,100,3.4,02-09-2021
Eyl,SO,7.98,49.82,74.6,70,99,17.8,02-09-2021
Mareeba,AU,-17.0,145.43,77.0,94,75,2.3,02-09-2021
Yuza,JP,39.0,139.92,32.2,95,100,13.6,02-09-2021
Auki,SB,-8.77,160.7,78.9,87,67,10.2,02-09-2021
Nazarovo,RU,56.01,90.39,-3.1,88,99,7.0,02-09-2021
Sirjan,IR,29.45,55.68,49.7,42,0,3.6,02-09-2021
Usolye,RU,59.43,56.68,-22.0,75,100,5.3,02-09-2021
Peniche,PT,39.36,-9.38,58.0,83,92,18.0,02-09-2021
Vostok,RU,46.49,135.88,-4.9,92,100,4.8,02-09-2021
Tuatapere,NZ,-46.13,167.68,50.3,90,100,4.8,02-09-2021
Paranaiba,BR,-19.68,-51.19,86.6,41,42,6.1,02-09-2021
Rochegda,RU,62.8,43.25,-10.0,88,99,3.8,02-09-2021
Iqaluit,CA,63.75,-68.51,10.4,72,40,2.3,02-09-2021
El Sauce,NI,12.89,-86.54,73.4,68,40,11.5,02-09-2021
General Roca,AR,-39.03,-67.58,86.0,30,0,10.4,02-09-2021
Anjangaon,IN,21.16,77.31,65.8,25,0,2.0,02-09-2021
Mineiros,BR,-17.57,-52.55,81.2,51,45,5.5,02-09-2021
Banda Aceh,ID,5.56,95.32,79.0,81,11,8.8,02-09-2021
Oranjemund,NA,-28.55,16.43,65.0,85,0,15.6,02-09-2021
Gladstone,AU,-23.85,151.25,71.6,68,8,4.6,02-09-2021
Clarence Town,BS,23.1,-74.98,77.4,77,36,17.2,02-09-2021
Canatlan,MX,24.52,-104.78,70.0,10,1,4.6,02-09-2021
Kingsland,US,30.8,-81.69,62.0,96,100,2.0,02-09-2021
Tomatlan,MX,19.93,-105.25,86.7,39,0,8.5,02-09-2021
Jiayuguan,CN,39.82,98.3,32.9,72,27,4.4,02-09-2021
Turukhansk,RU,65.82,87.98,6.7,95,98,9.6,02-09-2021
Henties Bay,NA,-22.12,14.28,67.0,88,33,3.1,02-09-2021
Castanos,MX,26.78,-101.42,79.8,23,0,9.5,02-09-2021
Hofn,IS,64.25,-15.21,32.5,92,100,9.1,02-09-2021
Zhezkazgan,KZ,47.8,67.71,-9.7,89,0,9.3,02-09-2021
Belyy Yar,RU,53.6,91.39,5.0,72,0,2.2,02-09-2021
Benghazi,LY,32.12,20.07,63.5,58,0,9.1,02-09-2021
Haines Junction,CA,60.75,-137.51,-41.8,60,76,2.3,02-09-2021
Nago,JP,26.59,127.98,62.6,59,75,5.8,02-09-2021
Honningsvag,NO,70.98,25.97,24.8,68,75,21.8,02-09-2021
Koltsovo,RU,54.94,83.18,-0.4,78,40,15.7,02-09-2021
Vaxjo,SE,56.88,14.81,21.2,73,90,11.5,02-09-2021
Paijan,PE,-7.73,-79.3,69.8,88,40,8.0,02-09-2021
Banjar,ID,-8.19,114.97,78.8,89,75,13.8,02-09-2021
Shrewsbury,GB,52.71,-2.75,32.0,80,75,10.4,02-09-2021
Kaitangata,NZ,-46.28,169.85,54.0,92,100,2.0,02-09-2021
Bandarbeyla,SO,9.49,50.81,75.6,70,91,23.2,02-09-2021
Balti,MD,47.76,27.93,33.0,100,90,6.9,02-09-2021
Aneho,TG,6.23,1.6,84.2,84,20,12.7,02-09-2021
Kalmunai,LK,7.42,81.82,73.4,81,85,10.2,02-09-2021
Salinopolis,BR,-0.61,-47.36,80.6,85,100,10.3,02-09-2021
Shimanovsk,RU,52.0,127.7,-6.3,92,100,3.1,02-09-2021
Vao,NC,-22.67,167.48,78.2,82,19,9.5,02-09-2021
Griffith,AU,-34.28,146.03,69.8,64,0,8.0,02-09-2021
Bani,DO,18.28,-70.33,89.6,55,20,9.2,02-09-2021
Port Antonio,JM,18.18,-76.46,85.0,65,40,13.8,02-09-2021
Stornoway,GB,58.21,-6.39,33.8,64,43,10.4,02-09-2021
Gazli,UZ,40.13,63.45,49.4,58,83,12.0,02-09-2021
Zaigrayevo,RU,51.83,108.27,-4.0,77,20,4.5,02-09-2021
Sinnamary,GF,5.38,-52.95,80.8,71,39,12.0,02-09-2021
Sambava,MG,-14.27,50.17,78.0,85,100,2.2,02-09-2021
Vanimo,PG,-2.67,141.3,77.7,81,95,4.0,02-09-2021
Preston,US,42.1,-111.88,39.2,60,90,18.4,02-09-2021
Villanueva,CO,5.28,-71.97,93.4,38,89,14.6,02-09-2021
Riyadh,SA,24.69,46.72,64.4,39,0,3.4,02-09-2021
Lamar,US,33.67,-95.58,33.8,93,90,11.5,02-09-2021
Mount Gambier,AU,-37.83,140.77,53.6,94,0,5.0,02-09-2021
Artesia,US,33.87,-118.08,58.0,71,90,6.9,02-09-2021
Zhigalovo,RU,54.81,105.16,24.5,95,100,9.0,02-09-2021
Labytnangi,RU,66.66,66.42,-28.3,82,0,1.8,02-09-2021
Camacari,BR,-12.7,-38.32,86.0,62,40,12.7,02-09-2021
Zhanaozen,KZ,43.3,52.8,41.2,64,100,16.5,02-09-2021
Sobolevo,RU,54.43,31.9,9.2,95,100,9.5,02-09-2021
Victor Harbor,AU,-35.57,138.62,68.0,77,0,2.8,02-09-2021
Omboue,GA,-1.57,9.26,77.8,89,95,6.4,02-09-2021
Balabac,PH,7.99,117.06,79.2,83,100,5.9,02-09-2021
Santa Cruz Del Sur,CU,20.71,-78.0,83.8,57,69,8.5,02-09-2021
Loreto,MX,22.27,-101.97,72.6,19,0,4.9,02-09-2021
Portree,GB,57.41,-6.19,26.0,80,8,4.0,02-09-2021
Ayagoz,KZ,47.97,80.44,-7.3,91,4,9.9,02-09-2021
Goundam,ML,16.41,-3.67,82.1,14,0,10.0,02-09-2021
Vitry-Le-Francois,FR,48.73,4.58,32.0,80,90,8.0,02-09-2021
Uzyn,UA,49.83,30.41,17.6,93,98,2.2,02-09-2021
Havre-Saint-Pierre,CA,50.23,-63.6,17.6,57,1,19.6,02-09-2021
Zyryanovsk,KZ,49.74,84.27,-1.0,88,96,2.2,02-09-2021
Talnakh,RU,69.49,88.4,-11.9,88,100,2.8,02-09-2021
Hobyo,SO,5.35,48.53,77.5,69,96,22.6,02-09-2021
Roviai,GR,38.82,23.23,56.0,70,100,6.0,02-09-2021
Mwingi,KE,-0.93,38.06,68.1,76,96,0.2,02-09-2021
Stewarton,GB,55.67,-4.5,32.0,86,20,10.4,02-09-2021
Shitanjing,CN,39.23,106.34,31.1,72,0,8.3,02-09-2021
Sibu,MY,2.3,111.82,77.0,100,40,1.1,02-09-2021
Inongo,CD,-1.95,18.27,80.3,61,100,1.6,02-09-2021
Platteville,US,42.73,-90.48,9.0,56,40,4.6,02-09-2021
Thongwa,MM,16.76,96.53,68.0,83,0,2.3,02-09-2021
Mnogovershinnyy,RU,53.94,139.92,2.3,95,91,6.3,02-09-2021
Urdoma,RU,61.75,48.54,-16.6,88,100,4.4,02-09-2021
Buala,SB,-8.14,159.59,79.6,85,48,10.0,02-09-2021
Deputatskiy,RU,69.3,139.9,-22.7,89,59,3.0,02-09-2021
Pisco,PE,-13.7,-76.22,77.0,69,0,6.9,02-09-2021
Nyrob,RU,60.73,56.72,-16.8,88,100,4.2,02-09-2021
Ormara,PK,25.21,64.64,75.0,39,36,11.1,02-09-2021
San Cristobal,EC,-0.9,-89.62,82.4,89,75,15.0,02-09-2021
Sukabumi,ID,-6.92,106.93,80.0,90,100,1.2,02-09-2021
Pathein,MM,16.78,94.73,65.7,78,0,4.1,02-09-2021
North Bend,US,43.41,-124.22,46.0,76,40,2.6,02-09-2021
Mikhaylovka,KZ,43.0,71.5,23.0,93,90,6.7,02-09-2021
Verkhoyansk,RU,67.54,133.38,-24.1,79,100,4.0,02-09-2021
Demak,ID,-6.89,110.64,77.0,87,100,3.1,02-09-2021
Noumea,NC,-22.28,166.46,80.0,94,75,7.4,02-09-2021
Volzhskiy,RU,48.79,44.78,19.4,93,90,22.4,02-09-2021
Sibolga,ID,1.74,98.78,78.2,80,99,3.4,02-09-2021
Pullman,US,46.73,-117.18,31.0,74,90,7.4,02-09-2021
Macau,BR,-5.12,-36.63,85.1,62,13,17.0,02-09-2021
Maiduguri,NG,11.85,13.16,74.9,18,35,9.4,02-09-2021
Kurayoshi,JP,35.43,133.82,35.6,87,40,4.6,02-09-2021
Lichinga,MZ,-13.31,35.24,69.8,88,75,8.0,02-09-2021
Port Keats,AU,-14.25,129.55,78.9,82,100,0.2,02-09-2021
